DEC1,DEC2,DEC3,DEC4,DEC_CENT,RA1,RA2,RA3,RA4,RA_CENT,TILENAME
-61.02702272,-61.02702272,-60.29661194,-60.29661194,-60.66388889,62.92295787,61.41495141,61.43186264,62.90604665,62.16895464,DES0408-6039
-51.74709313,-51.74709313,-51.01665863,-51.01665863,-51.38333333,75.72985273,74.55003387,74.55937439,75.72051221,75.1399433,DES0500-5123
-53.17479275,-53.17479275,-52.44436076,-52.44436076,-52.81111111,80.95856836,79.73985622,79.75000941,80.94841517,80.34921229,DES0521-5248
-58.88552985,-58.88552985,-58.15511167,-58.15511167,-58.52222222,89.33658156,87.92299287,87.93755745,89.32201698,88.62978721,DES0554-5831
-50.31938872,-50.31938872,-49.58895197,-49.58895197,-49.95555556,63.14728478,62.00326526,62.01187684,63.13867319,62.57527502,DES0410-4957
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,65.48561364,64.12766047,64.14090682,65.4723673,64.80663706,DES0419-5705
-65.30992634,-65.30992634,-64.57953651,-64.57953651,-64.94722222,72.66080546,70.9120282,70.93555311,72.63728054,71.78641683,DES0447-6456
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,73.74034031,72.19749756,72.21530961,73.72252826,72.96891894,DES0451-6122
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,356.09250808,354.70740304,354.72128678,356.07862434,355.39995556,DES2341-5748
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,74.76688556,73.48321221,73.49477224,74.75532553,74.12504888,DES0456-5457
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,69.26952185,67.7266791,67.74449115,69.2517098,68.49810048,DES0433-6122
-60.31319429,-60.31319429,-59.58278087,-59.58278087,-59.95,76.83292076,75.35798837,75.37406183,76.8168473,76.09545457,DES0504-5957
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,107.08916111,105.80548776,105.81704779,107.07760108,106.44732444,DES0705-5457
-5.34568293,-5.34568293,-4.61522528,-4.61522528,-4.98055556,35.754716,35.02106736,35.02147469,35.75430867,35.38789168,DES0221-0458
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,85.19701325,83.83906009,83.85230643,85.18376691,84.51803667,DES0538-5705
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,85.86238826,84.53034018,84.54298891,85.84973953,85.19636422,DES0540-5622
0.36531183,0.36531183,1.09576959,1.09576959,0.73055556,43.16173571,42.4312631,42.43120372,43.16179509,42.79649941,DES0251+0043
-28.90348249,-28.90348249,-28.17302911,-28.17302911,-28.53888889,53.56412107,52.72972543,52.73260798,53.56123851,53.14692325,DES0332-2832
-45.32239236,-45.32239236,-44.5919494,-44.5919494,-44.95833333,66.84813925,65.80924675,65.81581753,66.84156846,66.328693,DES0425-4457
-48.17782423,-48.17782423,-47.44738453,-47.44738453,-47.81388889,77.13295898,76.03751658,76.04516732,77.12530824,76.58523778,DES0506-4748
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,79.94064002,78.58268686,78.5959332,79.92739368,79.26166344,DES0517-5705
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,80.51246142,79.12735638,79.14124012,80.49857768,79.8199089,DES0519-5748
-61.02702272,-61.02702272,-60.29661194,-60.29661194,-60.66388889,65.83719459,64.32918814,64.34609936,65.82028337,65.08319137,DES0420-6039
-30.33122188,-30.33122188,-29.60076905,-29.60076905,-29.96666667,54.68780893,53.84150825,53.8446073,54.68470988,54.26465859,DES0337-2958
-51.74709313,-51.74709313,-51.01665863,-51.01665863,-51.38333333,2.52302151,1.34320265,1.35254316,2.51368099,1.93311208,DES0007-5123
-29.61735232,-29.61735232,-28.88689921,-28.88689921,-29.25277778,56.1568366,55.31659583,55.31958504,56.1538474,55.73671622,DES0342-2915
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,67.77924903,66.23640628,66.25421833,67.76143698,67.00782766,DES0428-6122
-45.32239236,-45.32239236,-44.5919494,-44.5919494,-44.95833333,341.09521321,340.05632072,340.0628915,341.08864243,340.57576697,DES2242-4457
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,75.02249561,74.00883125,74.01493253,75.01639433,74.51566343,DES0458-4331
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,84.17225005,82.62940731,82.64721935,84.15443801,83.40082868,DES0533-6122
-66.02372978,-66.02372978,-65.29334456,-65.29334456,-65.66111111,85.65259322,83.85496077,83.87993845,85.62761553,84.75377699,DES0539-6539
-65.30992634,-65.30992634,-64.57953651,-64.57953651,-64.94722222,76.03255635,74.2837791,74.30730401,76.00903144,75.15816773,DES0500-6456
-65.30992634,-65.30992634,-64.57953651,-64.57953651,-64.94722222,89.51955995,87.7707827,87.79430761,89.49603504,88.64517133,DES0554-6456
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,342.46402424,341.45035988,341.45646115,342.45792296,341.95719206,DES2247-4331
-54.60248698,-54.60248698,-53.87205783,-53.87205783,-54.23888889,355.03200293,353.77093626,353.78199959,355.0209396,354.40146959,DES2337-5414
-1.06243694,-1.06243694,-0.33197917,-0.33197917,-0.69722222,42.44692293,41.71633956,41.71639623,42.44686626,42.08163125,DES0248-0041
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,63.57840556,62.29473221,62.30629224,63.56684553,62.93656888,DES0411-5457
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,64.17152033,62.81356717,62.82681351,64.15827399,63.49254375,DES0413-5705
-49.60553489,-49.60553489,-48.8750971,-48.8750971,-49.24166667,65.36797417,64.24079458,64.24906946,65.35969929,64.80438437,DES0419-4914
-53.17479275,-53.17479275,-52.44436076,-52.44436076,-52.81111111,353.559699,352.34098687,352.35114005,353.54954582,352.95034294,DES2331-5248
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,62.65379314,61.32174506,61.33439378,62.64114441,61.9877691,DES0407-5622
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,343.44868883,342.43502446,342.44112574,343.44258755,342.94185665,DES2251-4331
-7.48730553,-7.48730553,-6.756848,-6.756848,-7.12222222,36.23431384,35.49757437,35.49816072,36.2337275,35.86594411,DES0223-0707
1.79306059,1.79306059,2.52351833,2.52351833,2.15833333,149.6871986,148.95638299,148.95620738,149.68737421,149.3217908,DES0957+0209
-50.31938872,-50.31938872,-49.58895197,-49.58895197,-49.95555556,16.54456635,15.40054683,15.40915841,16.53595477,15.97255659,DES0103-4957
-62.45467101,-62.45467101,-61.72426615,-61.72426615,-62.09166667,69.8363475,68.25677002,68.2755525,69.81756501,69.04655876,DES0436-6205
-58.88552985,-58.88552985,-58.15511167,-58.15511167,-58.52222222,87.96941789,86.55582919,86.57039377,87.9548533,87.26262354,DES0549-5831
-63.88230631,-63.88230631,-63.15190835,-63.15190835,-63.51944444,87.1396748,85.48031312,85.50127598,87.11871194,86.30999396,DES0545-6331
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,342.69773527,341.3397821,341.35302844,342.68448892,342.01875868,DES2248-5705
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,342.71307661,341.38102853,341.39367726,342.70042788,342.04705257,DES2248-5622
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,355.83866834,354.48071518,354.49396152,355.825422,355.15969176,DES2340-5705
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,79.17246216,77.78735712,77.80124086,79.15857842,78.47990964,DES0513-5748
-52.46094357,-52.46094357,-51.73051029,-51.73051029,-52.09722222,78.28969146,77.09083435,77.10056993,78.27995588,77.69026291,DES0510-5205
-56.03017514,-56.03017514,-55.29974919,-55.29974919,-55.66666667,67.54314279,66.23583085,66.24791846,67.53105519,66.88948682,DES0427-5540
-4.63180866,-4.63180866,-3.90135098,-3.90135098,-4.26666667,34.20132187,33.46847073,33.46881908,34.20097351,33.8348963,DES0215-0416
-47.46396751,-47.46396751,-46.73352694,-46.73352694,-47.1,77.04386719,75.96338557,75.97074669,77.03650607,76.50362638,DES0506-4706
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,85.66252287,84.11968013,84.13749217,85.64471083,84.8911015,DES0539-6122
-50.31938872,-50.31938872,-49.58895197,-49.58895197,-49.95555556,3.22950394,2.08548442,2.09409601,3.22089236,2.65749418,DES0010-4957
-49.60553489,-49.60553489,-48.8750971,-48.8750971,-49.24166667,18.3490798,17.22190021,17.23017509,18.34080493,17.78549001,DES0111-4914
-62.45467101,-62.45467101,-61.72426615,-61.72426615,-62.09166667,85.08848203,83.50890455,83.52768703,85.06969954,84.29869329,DES0537-6205
-46.75010994,-46.75010994,-46.01966852,-46.01966852,-46.38611111,64.56281321,63.49672597,63.50381114,64.55572803,64.02976959,DES0416-4623
-54.60248698,-54.60248698,-53.87205783,-53.87205783,-54.23888889,73.21191145,71.95084478,71.96190811,73.20084812,72.58137811,DES0450-5414
-62.45467101,-62.45467101,-61.72426615,-61.72426615,-62.09166667,72.8867744,71.30719692,71.32597941,72.86799192,72.09698566,DES0448-6205
-51.03324149,-51.03324149,-50.30280583,-50.30280583,-50.66944444,77.77872478,76.61717149,76.62613783,77.76975843,77.19794813,DES0508-5040
-66.02372978,-66.02372978,-65.29334456,-65.29334456,-65.66111111,89.11695601,87.31932356,87.34430125,89.09197833,88.21813979,DES0552-6539
-63.88230631,-63.88230631,-63.15190835,-63.15190835,-63.51944444,90.34173077,88.68236908,88.70333194,90.3207679,89.51204992,DES0558-6331
-53.17479275,-53.17479275,-52.44436076,-52.44436076,-52.81111111,359.46502801,358.24631588,358.25646906,359.45487483,358.85567195,DES2355-5248
-45.32239236,-45.32239236,-44.5919494,-44.5919494,-44.95833333,75.92786083,74.88896833,74.89553911,75.92129004,75.40841458,DES0501-4457
-49.60553489,-49.60553489,-48.8750971,-48.8750971,-49.24166667,76.30260076,75.17542118,75.18369605,76.29432589,75.73901097,DES0502-4914
-0.34856255,-0.34856255,0.38189521,0.38189521,0.01666667,42.43746324,41.70699196,41.7069906,42.43746459,42.0722276,DES0248+0001
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,72.06850184,71.05483748,71.06093876,72.06240057,71.56166966,DES0446-4331
-45.32239236,-45.32239236,-44.5919494,-44.5919494,-44.95833333,73.91014492,72.87125242,72.87782321,73.90357414,73.39069867,DES0453-4457
-58.88552985,-58.88552985,-58.15511167,-58.15511167,-58.52222222,74.2977811,72.8841924,72.89875698,74.28321651,73.59098675,DES0454-5831
-63.16849041,-63.16849041,-62.43808887,-62.43808887,-62.80555556,93.88631977,92.26795839,92.28778834,93.86648983,93.07713908,DES0612-6248
-3.91793436,-3.91793436,-3.18747665,-3.18747665,-3.55277778,36.9608837,36.22871479,36.22900445,36.96059405,36.59479925,DES0226-0333
-50.31938872,-50.31938872,-49.58895197,-49.58895197,-49.95555556,68.69522745,67.55120793,67.55981951,68.68661586,68.12321769,DES0432-4957
1.07918621,1.07918621,1.80964397,1.80964397,1.44444444,150.30939468,149.57880732,149.57868987,150.30951213,149.944101,DES0959+0126
-49.60553489,-49.60553489,-48.8750971,-48.8750971,-49.24166667,16.16215448,15.0349749,15.04324977,16.15387961,15.59856469,DES0102-4914
-59.59936327,-59.59936327,-58.86894739,-58.86894739,-59.23611111,67.85014811,66.40665095,66.42194391,67.83485514,67.12839953,DES0428-5914
-44.60853245,-44.60853245,-43.87808876,-43.87808876,-44.24444444,341.28447098,340.25842723,340.264758,341.2781402,340.7714491,DES2243-4414
-56.03017514,-56.03017514,-55.29974919,-55.29974919,-55.66666667,341.47243359,340.16512165,340.17720926,341.46034599,340.81877762,DES2243-5540
-44.60853245,-44.60853245,-43.87808876,-43.87808876,-44.24444444,343.27754519,342.25150144,342.25783222,343.27121442,342.76452332,DES2251-4414
-1.77631131,-1.77631131,-1.04585356,-1.04585356,-1.41111111,40.33385884,39.60304989,39.60316463,40.33374411,39.96845437,DES0239-0124
-51.74709313,-51.74709313,-51.01665863,-51.01665863,-51.38333333,73.44213925,72.2623204,72.27166091,73.43279874,72.85222982,DES0451-5123
-46.03625154,-46.03625154,-45.30580933,-45.30580933,-45.67222222,74.90318288,73.85095035,73.85777235,74.89636089,74.37706662,DES0457-4540
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,78.62654671,77.26859355,77.28183989,78.61330037,77.94757013,DES0511-5705
-51.74709313,-51.74709313,-51.01665863,-51.01665863,-51.38333333,355.65988108,354.48006222,354.48940274,355.65054056,355.06997165,DES2340-5123
-62.45467101,-62.45467101,-61.72426615,-61.72426615,-62.09166667,66.78592059,65.20634311,65.22512559,66.76713811,65.99613185,DES0423-6205
-60.31319429,-60.31319429,-59.58278087,-59.58278087,-59.95,66.85355632,65.37862393,65.39469739,66.83748286,66.11609012,DES0424-5957
-49.60553489,-49.60553489,-48.8750971,-48.8750971,-49.24166667,70.83528747,69.70810788,69.71638275,70.82701259,70.27169767,DES0441-4914
-30.33122188,-30.33122188,-29.60076905,-29.60076905,-29.96666667,55.51186016,54.66555949,54.66865854,55.50876111,55.08870982,DES0340-2958
-3.91793436,-3.91793436,-3.18747665,-3.18747665,-3.55277778,33.38456608,32.65239717,32.65268683,33.38427642,33.01848162,DES0212-0333
-58.88552985,-58.88552985,-58.15511167,-58.15511167,-58.52222222,75.66494478,74.25135608,74.26592066,75.65038019,74.95815043,DES0459-5831
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,11.01929732,10.00563296,10.01173424,11.01319604,10.51246514,DES0042-4331
-63.16849041,-63.16849041,-62.43808887,-62.43808887,-62.80555556,67.33095693,65.71259555,65.73242549,67.31112698,66.52177624,DES0426-6248
-63.88230631,-63.88230631,-63.15190835,-63.15190835,-63.51944444,88.74070278,87.0813411,87.10230396,88.71973992,87.91102194,DES0551-6331
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,87.21245771,85.82735268,85.84123642,87.19857397,86.51990519,DES0546-5748
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,77.25321444,75.9695411,75.98110113,77.24165441,76.61137777,DES0506-5457
-64.5961184,-64.5961184,-63.86572433,-63.86572433,-64.23333333,80.07429381,78.37152936,78.39372021,80.05210296,79.22291158,DES0516-6414
-60.31319429,-60.31319429,-59.58278087,-59.58278087,-59.95,65.42793283,63.95300044,63.9690739,65.41185937,64.69046663,DES0418-5957
-53.17479275,-53.17479275,-52.44436076,-52.44436076,-52.81111111,67.96684454,66.7481324,66.75828558,67.95669135,67.35748847,DES0429-5248
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,84.57302186,83.24097378,83.25362251,84.56037314,83.90699782,DES0535-5622
-51.03324149,-51.03324149,-50.30280583,-50.30280583,-50.66944444,14.70174495,13.54019166,13.549158,14.6927786,14.1209683,DES0056-5040
-3.20406003,-3.20406003,-2.4736023,-2.4736023,-2.83888889,34.01697079,33.28536938,33.28560056,34.0167396,33.65117008,DES0214-0250
-46.03625154,-46.03625154,-45.30580933,-45.30580933,-45.67222222,75.92483075,74.87259822,74.87942022,75.91800875,75.39871448,DES0501-4540
-46.75010994,-46.75010994,-46.01966852,-46.01966852,-46.38611111,75.94703172,74.88094448,74.88802965,75.93994654,75.4139881,DES0501-4623
2.50693495,2.50693495,3.23739268,3.23739268,2.87222222,151.24523168,150.51407414,150.51384023,151.24546559,150.87965291,DES1003+0252
-53.17479275,-53.17479275,-52.44436076,-52.44436076,-52.81111111,358.28396221,357.06525008,357.07540326,358.27380903,357.67460615,DES2350-5248
-63.16849041,-63.16849041,-62.43808887,-62.43808887,-62.80555556,68.8930371,67.27467572,67.29450566,68.87320715,68.08385641,DES0432-6248
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,74.03783102,73.02416666,73.03026794,74.03172974,73.53099884,DES0454-4331
-63.16849041,-63.16849041,-62.43808887,-62.43808887,-62.80555556,86.07591894,84.45755756,84.4773875,86.05608899,85.26673825,DES0541-6248
-56.03017514,-56.03017514,-55.29974919,-55.29974919,-55.66666667,1.72436517,0.41705323,0.42914084,1.71227756,1.0707092,DES0004-5540
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,65.77246956,64.38736453,64.40124827,65.75858582,65.07991705,DES0420-5748
-58.88552985,-58.88552985,-58.15511167,-58.15511167,-58.52222222,81.13359949,79.72001079,79.73457538,81.11903491,80.42680514,DES0521-5831
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,341.47935965,340.46569529,340.47179657,341.47325837,340.97252747,DES2243-4331
-48.89168004,-48.89168004,-48.16124127,-48.16124127,-48.52777778,17.96205444,16.85105627,16.85901124,17.95409947,17.40655535,DES0109-4831
-28.90348249,-28.90348249,-28.17302911,-28.17302911,-28.53888889,56.00200795,55.16761231,55.17049487,55.99912539,55.58481013,DES0342-2832
-63.16849041,-63.16849041,-62.43808887,-62.43808887,-62.80555556,64.20679659,62.58843521,62.60826516,64.18696665,63.3976159,DES0413-6248
-45.32239236,-45.32239236,-44.5919494,-44.5919494,-44.95833333,71.89242901,70.85353652,70.8601073,71.88585823,71.37298276,DES0445-4457
-53.17479275,-53.17479275,-52.44436076,-52.44436076,-52.81111111,73.87217355,72.65346141,72.66361459,73.86202036,73.26281748,DES0453-5248
