TILENAME,RA,DEC,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,DECCMAX,URAL,URAU,UDECL,UDECU,CROSSRAZERO,PIXELSCALE,NAXIS1,NAXIS2,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CD1_1,CD1_2,CD2_1,CD2_2
DES0012-5123,3.07696882,-51.38333333,3.66687824,2.48705939,2.49639990,3.65753773,-51.74709313,-51.74709313,-51.01665863,-51.01665863,2.48705939,3.66687824,-51.74709313,-51.01665863,2.50504045,3.64889718,-51.74027778,-51.02638889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,3.07696882,-51.38333333,-0.00007306,0.00000000,0.00000000,0.00007306
DES0413-6248,63.39761590,-62.80555556,64.20679659,62.58843521,62.60826516,64.18696665,-63.16849041,-63.16849041,-62.43808887,-62.43808887,62.58843521,64.20679659,-63.16849041,-62.43808887,62.61657582,64.17865599,-63.16250000,-62.44861111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,63.39761590,-62.80555556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0521-5831,80.42680514,-58.52222222,81.13359949,79.72001079,79.73457538,81.11903491,-58.88552985,-58.88552985,-58.15511167,-58.15511167,79.72001079,81.13359949,-58.88552985,-58.15511167,79.74322330,81.11038698,-58.87916667,-58.16527778,N,0.26300001,10000,10000,5000.50000000,5000.50000000,80.42680514,-58.52222222,-0.00007306,0.00000000,0.00000000,0.00007306
DES0004-5540,1.07070920,-55.66666667,1.72436517,0.41705323,0.42914084,1.71227756,-56.03017514,-56.03017514,-55.29974919,-55.29974919,0.41705323,1.72436517,-56.03017514,-55.29974919,0.43783634,1.70358206,-56.02361111,-55.30972222,N,0.26300001,10000,10000,5000.50000000,5000.50000000,1.07070920,-55.66666667,-0.00007306,0.00000000,0.00000000,0.00007306
DES0432-6248,68.08385641,-62.80555556,68.89303710,67.27467572,67.29450566,68.87320715,-63.16849041,-63.16849041,-62.43808887,-62.43808887,67.27467572,68.89303710,-63.16849041,-62.43808887,67.30281632,68.86489649,-63.16250000,-62.44861111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,68.08385641,-62.80555556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0109-4831,17.40655535,-48.52777778,17.96205444,16.85105627,16.85901124,17.95409947,-48.89168004,-48.89168004,-48.16124127,-48.16124127,16.85105627,17.96205444,-48.89168004,-48.16124127,16.86757348,17.94553722,-48.88472222,-48.17083333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,17.40655535,-48.52777778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0445-4457,71.37298276,-44.95833333,71.89242901,70.85353652,70.86010730,71.88585823,-45.32239236,-45.32239236,-44.59194940,-44.59194940,70.85353652,71.89242901,-45.32239236,-44.59194940,70.86855379,71.87741174,-45.31527778,-44.60138889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,71.37298276,-44.95833333,-0.00007306,0.00000000,0.00000000,0.00007306
DES0501-4540,75.39871448,-45.67222222,75.92483075,74.87259822,74.87942022,75.91800875,-46.03625154,-46.03625154,-45.30580933,-45.30580933,74.87259822,75.92483075,-46.03625154,-45.30580933,74.88789055,75.90953841,-46.02916667,-45.31527778,N,0.26300001,10000,10000,5000.50000000,5000.50000000,75.39871448,-45.67222222,-0.00007306,0.00000000,0.00000000,0.00007306
DES0501-4623,75.41398810,-46.38611111,75.94703172,74.88094448,74.88802965,75.93994654,-46.75010994,-46.75010994,-46.01966852,-46.01966852,74.88094448,75.94703172,-46.75010994,-46.01966852,74.89652362,75.93145258,-46.74305556,-46.02916667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,75.41398810,-46.38611111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0510-5957,77.52107806,-59.95000000,78.25854425,76.78361186,76.79968532,78.24247079,-60.31319429,-60.31319429,-59.58278087,-59.58278087,76.78361186,78.25854425,-60.31319429,-59.58278087,76.80826631,78.23388980,-60.30694444,-59.59305556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,77.52107806,-59.95000000,-0.00007306,0.00000000,0.00000000,0.00007306
