TILENAME,RA,DEC,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,DECCMAX,URAL,URAU,UDECL,UDECU,CROSSRAZERO,PIXELSCALE,NAXIS1,NAXIS2,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CD1_1,CD1_2,CD2_1,CD2_2
DES0433-6122,68.49810048,-61.37777778,69.26952185,67.72667910,67.74449115,69.25170980,-61.74084837,-61.74084837,-61.01044044,-61.01044044,67.72667910,69.26952185,-61.74084837,-61.01044044,67.75296407,69.24323689,-61.73472222,-61.02083333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,68.49810048,-61.37777778,-0.00007306,0.00000000,0.00000000,0.00007306
DES2131+0126,322.84575917,1.44444444,323.21105285,322.48046549,322.48034804,323.21117030,1.07918621,1.07918621,1.80964397,1.80964397,322.48034804,323.21117030,1.07918621,1.80964397,322.48870127,323.20281708,1.08750000,1.80138889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,322.84575917,1.44444444,-0.00007306,0.00000000,0.00000000,0.00007306
DES0246-5540,41.57457235,-55.66666667,42.22822832,40.92091638,40.93300399,42.21614072,-56.03017514,-56.03017514,-55.29974919,-55.29974919,40.92091638,42.22822832,-56.03017514,-55.29974919,40.94169949,42.20744521,-56.02361111,-55.30972222,N,0.26300001,10000,10000,5000.50000000,5000.50000000,41.57457235,-55.66666667,-0.00007306,0.00000000,0.00000000,0.00007306
DES2002-5414,300.65278248,-54.23888889,301.28331582,300.02224915,300.03331248,301.27225249,-54.60248698,-54.60248698,-53.87205783,-53.87205783,300.02224915,301.28331582,-54.60248698,-53.87205783,300.04200195,301.26356302,-54.59583333,-53.88194444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,300.65278248,-54.23888889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0009-4831,2.31506298,-48.52777778,2.87056207,1.75956390,1.76751887,2.86260710,-48.89168004,-48.89168004,-48.16124127,-48.16124127,1.75956390,2.87056207,-48.89168004,-48.16124127,1.77608111,2.85404486,-48.88472222,-48.17083333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,2.31506298,-48.52777778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0326-4914,51.68283246,-49.24166667,52.24642225,51.11924266,51.12751754,52.23814738,-49.60553489,-49.60553489,-48.87509710,-48.87509710,51.11924266,52.24642225,-49.60553489,-48.87509710,51.13610113,52.22956379,-49.59861111,-48.88472222,N,0.26300001,10000,10000,5000.50000000,5000.50000000,51.68283246,-49.24166667,-0.00007306,0.00000000,0.00000000,0.00007306
DES0538-5705,84.51803667,-57.09444444,85.19701325,83.83906009,83.85230643,85.18376691,-57.45785642,-57.45785642,-56.72743410,-56.72743410,83.83906009,85.19701325,-57.45785642,-56.72743410,83.86099002,85.17508332,-57.45138889,-56.73750000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,84.51803667,-57.09444444,-0.00007306,0.00000000,0.00000000,0.00007306
DES2253-4623,343.30531106,-46.38611111,343.83835468,342.77226744,342.77935261,343.83126951,-46.75010994,-46.75010994,-46.01966852,-46.01966852,342.77226744,343.83835468,-46.75010994,-46.01966852,342.78784658,343.82277554,-46.74305556,-46.02916667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,343.30531106,-46.38611111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0228-5205,37.01769718,-52.09722222,37.61712574,36.41826862,36.42800421,37.60739015,-52.46094357,-52.46094357,-51.73051029,-51.73051029,36.41826862,37.61712574,-52.46094357,-51.73051029,36.43666053,37.59873383,-52.45416667,-51.74027778,N,0.26300001,10000,10000,5000.50000000,5000.50000000,37.01769718,-52.09722222,-0.00007306,0.00000000,0.00000000,0.00007306
DES0238-4249,39.57228023,-42.81666667,40.07314712,39.07141334,39.07729499,40.06726546,-43.18081054,-43.18081054,-42.45036552,-42.45036552,39.07141334,40.07314712,-43.18081054,-42.45036552,39.08566976,40.05889070,-43.17361111,-42.45972222,N,0.26300001,10000,10000,5000.50000000,5000.50000000,39.57228023,-42.81666667,-0.00007306,0.00000000,0.00000000,0.00007306
DES0430-4331,67.62301131,-43.53055556,68.12984349,67.11617912,67.12228040,68.12374221,-43.89467183,-43.89467183,-43.16422746,-43.16422746,67.11617912,68.12984349,-43.89467183,-43.16422746,67.13067901,68.11534360,-43.88750000,-43.17361111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,67.62301131,-43.53055556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0504-5957,76.09545457,-59.95000000,76.83292076,75.35798837,75.37406183,76.81684730,-60.31319429,-60.31319429,-59.58278087,-59.58278087,75.35798837,76.83292076,-60.31319429,-59.58278087,75.38264282,76.80826631,-60.30694444,-59.59305556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,76.09545457,-59.95000000,-0.00007306,0.00000000,0.00000000,0.00007306
